Line|LOS|a|e|i|o|u|Ac|Ec|Ic|Oc|Uc
"all, one grand hooded phantom, like a snow hill in the air."|60|5|4|4|5|0|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"CHAPTER 2. The Carpet-Bag."|27|2|2|0|0|0|1|1|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"I stuffed a shirt or two into my old carpet-bag, tucked it under my"|68|3|4|3|4|3|0|0|1|0|0
"arm, and started for Cape Horn and the Pacific. Quitting the good city"|71|6|4|5|4|1|0|0|0|0|0
"of old Manhatto, I duly arrived in New Bedford. It was a Saturday night"|72|7|3|3|4|2|0|0|2|0|0
"in December. Much was I disappointed upon learning that the little"|67|4|7|5|2|2|0|0|1|0|0
"packet for Nantucket had already sailed, and that no way of reaching"|69|10|5|2|3|1|0|0|0|0|0
"that place would offer, till the following Monday."|51|3|3|2|5|1|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"As most young candidates for the pains and penalties of whaling stop at"|72|7|4|4|5|1|1|0|0|0|0
"this same New Bedford, thence to embark on their voyage, it may as well"|72|5|9|3|4|0|0|0|0|0|0
"be related that I, for one, had no idea of so doing. For my mind was"|69|5|5|3|7|0|0|0|1|0|0
"made up to sail in no other than a Nantucket craft, because there was a"|72|9|7|2|3|3|0|0|0|0|0
"fine, boisterous something about everything connected with that famous"|71|3|7|5|6|3|0|0|0|0|0
"old island, which amazingly pleased me. Besides though New Bedford has"|71|5|7|4|3|1|0|0|0|0|0
"of late been gradually monopolising the business of whaling, and though"|72|5|5|4|6|3|0|0|0|0|0
"in this matter poor old Nantucket is now much behind her, yet Nantucket"|72|3|6|4|4|3|0|0|0|0|0
"was her great original—the Tyre of this Carthage;—the place where the"|70|6|10|3|2|0|0|0|0|0|0
"first dead American whale was stranded. Where else but from Nantucket"|70|6|9|2|1|2|1|0|0|0|0
"did those aboriginal whalemen, the Red-Men, first sally out in canoes"|70|5|7|5|4|1|0|0|0|0|0
"to give chase to the Leviathan? And where but from Nantucket, too, did"|71|4|7|3|5|2|1|0|0|0|0
"that first adventurous little sloop put forth, partly laden with"|65|4|3|3|4|3|0|0|0|0|0
"imported cobblestones—so goes the story—to throw at the whales, in"|67|2|7|2|8|0|0|0|0|0|0
"order to discover when they were nigh enough to risk a harpoon from the"|72|2|8|3|8|1|0|0|0|0|0
"bowsprit?"|10|0|0|1|1|0|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"Now having a night, a day, and still another night following before me"|71|6|4|5|5|0|0|0|0|0|0
"in New Bedford, ere I could embark for my destined port, it became a"|69|3|9|3|4|1|0|0|1|0|0
"matter of concernment where I was to eat and sleep meanwhile. It was a"|71|7|10|1|3|0|0|0|2|0|0
"very dubious-looking, nay, a very dark and dismal night, bitingly cold"|71|5|2|6|4|2|0|0|0|0|0
"and cheerless. I knew no one in the place. With anxious grapnels I had"|71|5|8|3|3|1|0|0|2|0|0
"sounded my pocket, and only brought up a few pieces of silver,—So,"|67|2|6|2|6|3|0|0|0|0|0
"wherever you go, Ishmael, said I to myself, as I stood in the middle of"|72|3|7|3|6|1|0|0|3|0|0
"a dreary street shouldering my bag, and comparing the gloom towards the"|72|6|6|2|5|1|0|0|0|0|0
"north with the darkness towards the south—wherever in your wisdom you"|70|2|6|3|6|3|0|0|0|0|0
"may conclude to lodge for the night, my dear Ishmael, be sure to"|65|3|7|1|5|2|0|0|1|0|0
"inquire the price, and don’t be too particular."|48|3|4|4|3|2|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"With halting steps I paced the streets, and passed the sign of “The"|68|4|8|3|1|0|0|0|1|0|0
"Crossed Harpoons”—but it looked too expensive and jolly there. Further"|71|2|8|2|8|2|0|0|0|0|0
"on, from the bright red windows of the “Sword-Fish Inn,” there came"|68|1|6|3|5|0|0|0|1|0|0
"such fervent rays, that it seemed to have melted the packed snow and"|69|5|10|1|2|1|0|0|0|0|0
"ice from before the house, for everywhere else the congealed frost lay"|71|2|14|1|6|1|0|0|0|0|0
"ten inches thick in a hard, asphaltic pavement,—rather weary for me,"|69|7|7|4|1|0|0|0|0|0|0
"when I struck my foot against the flinty projections, because from"|67|3|5|3|5|2|0|0|1|0|0
"hard, remorseless service the soles of my boots were in a most"|63|2|9|2|6|0|0|0|0|0|0
"miserable plight. Too expensive and jolly, again thought I, pausing one"|72|5|6|5|5|2|0|0|1|0|0
"moment to watch the broad glare in the street, and hear the sounds of"|70|5|8|1|5|1|0|0|0|0|0
"the tinkling glasses within. But go on, Ishmael, said I at last; don’t"|71|5|3|5|3|1|0|0|2|0|0
"you hear? get away from before the door; your patched boots are"|64|5|7|0|8|2|0|0|0|0|0
"stopping the way. So on I went. I now by instinct followed the streets"|71|1|6|3|6|0|0|0|2|0|0
"that took me waterward, for there, doubtless, were the cheapest, if not"|72|4|10|1|5|1|0|0|0|0|0
"the cheeriest inns."|20|0|4|2|0|0|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"Such dreary streets! blocks of blackness, not houses, on either hand,"|70|3|7|1|5|2|0|0|0|0|0
"and here and there a candle, like a candle moving about in a tomb. At"|70|8|7|3|3|1|1|0|0|0|0
"this hour of the night, of the last day of the week, that quarter of"|69|4|6|2|5|2|0|0|0|0|0
"the town proved all but deserted. But presently I came to a smoky light"|72|3|8|1|4|2|0|0|1|0|0
"proceeding from a low, wide building, the door of which stood"|62|1|4|5|8|1|0|0|0|0|0
"invitingly open. It had a careless look, as if it were meant for the"|69|5|7|5|4|0|0|0|1|0|0
"uses of the public; so, entering, the first thing I did was to stumble"|71|1|6|5|3|3|0|0|1|0|0
"over an ash-box in the porch. Ha! thought I, ha, as the flying"|63|5|3|2|4|1|0|0|1|0|0
"particles almost choked me, are these ashes from that destroyed city,"|70|5|9|2|4|0|0|0|0|0|0
"Gomorrah? But “The Crossed Harpoons,” and “The Sword-Fish?”—this, then"|71|3|4|2|6|1|0|0|0|0|0
"must needs be the sign of “The Trap.” However, I picked myself up and"|70|2|9|2|2|2|0|0|1|0|0
"hearing a loud voice within, pushed on and opened a second, interior"|69|4|7|6|6|2|0|0|0|0|0
"door."|6|0|0|0|2|0|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"It seemed the great Black Parliament sitting in Tophet. A hundred black"|72|5|8|4|1|1|1|0|1|0|0
"faces turned round in their rows to peer; and beyond, a black Angel of"|71|4|7|2|5|2|1|0|0|0|0
"Doom was beating a book in a pulpit. It was a negro church; and the"|68|7|3|3|5|2|0|0|1|0|0
"preacher’s text was about the blackness of darkness, and the weeping"|69|6|9|1|2|1|0|0|0|0|0
"and wailing and teeth-gnashing there. Ha, Ishmael, muttered I, backing"|71|7|7|4|0|1|0|0|2|0|0
"out, Wretched entertainment at the sign of ‘The Trap!’"|55|3|7|2|2|1|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"Moving on, I at last came to a dim sort of light not far from the"|66|5|2|3|7|0|0|0|1|0|0
"docks, and heard a forlorn creaking in the air; and looking up, saw a"|70|8|3|4|5|1|0|0|0|0|0
"swinging sign over the door with a white painting upon it, faintly"|67|3|3|9|4|1|0|0|0|0|0
"representing a tall straight jet of misty spray, and these words"|65|5|6|3|2|0|0|0|0|0|0
"underneath—“The Spouter Inn:—Peter Coffin.”"|44|1|6|1|2|2|0|0|1|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"Coffin?—Spouter?—Rather ominous in that particular connexion, thought"|70|4|3|5|7|4|0|0|0|0|0
"I. But it is a common name in Nantucket, they say, and I suppose this"|70|5|4|4|3|3|0|0|2|0|0
"Peter here is an emigrant from there. As the light looked so dim, and"|70|3|9|4|4|0|1|0|0|0|0
"the place, for the time, looked quiet enough, and the dilapidated"|66|4|9|4|4|2|0|0|0|0|0
"little wooden house itself looked as if it might have been carted here"|71|3|11|5|5|1|0|0|0|0|0
"from the ruins of some burnt district, and as the swinging sign had a"|70|4|3|6|3|2|0|0|0|0|0
"poverty-stricken sort of creak to it, I thought that here was the very"|71|3|7|2|5|1|0|0|1|0|0
"spot for cheap lodgings, and the best of pea coffee."|53|3|6|1|5|0|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"It was a queer sort of place—a gable-ended old house, one side palsied"|71|6|10|2|5|2|0|0|1|0|0
"as it were, and leaning over sadly. It stood on a sharp bleak corner,"|70|7|6|2|5|0|0|0|1|0|0
"where that tempestuous wind Euroclydon kept up a worse howling than"|68|3|6|2|5|4|0|1|0|0|0
"ever it did about poor Paul’s tossed craft. Euroclydon, nevertheless,"|70|3|7|2|6|3|0|1|0|0|0
"is a mighty pleasant zephyr to any one in-doors, with his feet on the"|70|4|6|5|5|0|0|0|0|0|0
"hob quietly toasting for bed. “In judging of that tempestuous wind"|67|2|4|4|5|4|0|0|1|0|0
"called Euroclydon,” says an old writer—of whose works I possess the"|68|3|5|1|7|1|0|1|1|0|0
"only copy extant—“it maketh a marvellous difference, whether thou"|66|4|8|2|4|2|0|0|0|0|0
"lookest out at it from a glass window where the frost is all on the"|68|4|5|3|7|1|0|0|0|0|0
"outside, or whether thou observest it from that sashless window, where"|71|2|8|3|6|2|0|0|0|0|0
"the frost is on both sides, and of which the wight Death is the only"|69|2|5|5|5|0|0|0|0|0|0
"glazier.” True enough, thought I, as this passage occurred to my"|65|4|5|2|4|4|0|0|1|0|0
"mind—old black-letter, thou reasonest well. Yes, these eyes are"|64|3|11|1|3|1|0|0|0|0|0
"windows, and this body of mine is the house. What a pity they didn’t"|69|3|4|6|4|1|0|0|0|0|0
"stop up the chinks and the crannies though, and thrust in a little lint"|72|4|4|5|2|3|0|0|0|0|0
